COMMENT_ID,TEXT,IS_TOXIC
3USKEEUv,One word POLIO.  If it wasn't for vaccines we wouldn't be here today with POLIO.  Does anyone know any history anymore or are we really that stupid as a nation?,BLANK
R9pvl1Hm,"Hello from Friday November 14th, 2025....This weeks been long, im sure it has been for you too, but this sure hit the spot tonight to wipe my mind of all my troubles, hope you sleep well.",BLANK
WR4Frvm9,"RFK Jr. is a walking embarrassment to all Irish people everywhere. I would absolutely LOVE to watch Ken Casey kick his ASS. RFK Jr. had a brainworm that ate some of his brain, defecated in what was left, and then died of malnutrition.",BLANK
xMWjoLcd,Yooo GG W Music,BLANK
2VbmxmPO,"not Sunny of course, that's outta Bucks like Enormousd",BLANK
JwBggPOd,I had a delightful nap to this music,BLANK
AuNbYS57,Helping me wind down on a sunday night ❤i hope its helping you too 😊,BLANK
yFGQPO1C,It's a beautiful thing to watch the dumbasscraps fall apart!  Hilarious,BLANK
PILM8JaP,Yep,BLANK
00JVc7dJ,So beautiful video and music,BLANK
7kaBTtF4,Hello,BLANK
R9dJi3Rs,hello everyone how are you doing today? 37:18,BLANK
WvOkqGEm,He’s full of shit,BLANK
V5mcC0zg,Cassidy is a coward. Letting RFK Jr. kill people is his legacy.,BLANK
TJFNHLwr,"Turns out vaccines don’t cause autism, the Kennedy family warns people against RFK tells you everything. All these politicians backpedaling in rhetoric after cutting healthcare giving tax cuts ultra wealthy all because midterms are coming.",BLANK
gQtDgZUm,This made my whole day  thank you!,BLANK
IEJ7T3nj,Keep taking those covid shots,BLANK
Scl7qkpg,"A completely feckless and impotent reply from a medical professional. People will suffer and die as a result of Cassidy's inaction, and he couldn't care less.",BLANK
ugKTY2Dx,POLSKA ZBIERAMY SIE🇵🇱,BLANK
hZ1c8crg,Seek peace in your life and purge all negative energies 😊🎉❤,BLANK
85YINGZl,Found this 4 years ago and still using it,BLANK
d3WqNidY,"guys look, today may have been the day you were expecting, or maybe it was, but just know that tomorrow will lead to a better life. cheers from puerto rico 2025",BLANK
TBMDyeEJ,He went in circles so many times I got vertigo 😵‍💫,BLANK
OMVkyIvI,This guy is from Louisiana?  He doesn't sound like Louisiana.  How did he get voted in?,BLANK
OfeYOzrX,🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽,BLANK
Bs20B2PW,Who cares if he thinks trump thinks they’re safe? He also thinks we can clean are blood with bleach. RFK knows less than trump medically. Please get your vaccinations! 💉,BLANK
guLWgSPk,Imagine playing this then ads comes in,BLANK
oZucdVCl,Bull shit.!!!!!,BLANK
RR1vlLkn,"Did he say under his plan if a person has a $5000 deductible, that he’d have a $1000 or $2000 health savings account that will pay for it.  Is everyone in Trump’s regime math impaired?",BLANK
4P9bQWT9,"Bring back Rachel Levine 
Bwahahahaha 
How embarrassing for democrats",BLANK
zv6dRbez,"Dr. Cassidy, you enabled JFK.",BLANK
PlePXOQA,What a chicken!,BLANK
rNuTlzZi,Yes I am here.,BLANK
Xofs2F57,"https://youtu.be/39LfHN8tPVE?si=jOtDlOtBKv43Lt1N

https://youtu.be/9PZznzWAapA?si=SK-MjegLW-JVt7NZ

https://youtu.be/xzSsxs2zhyI?si=s1SVYEbUxo9aEaTy

🌿https://youtu.be/crhWgnN9aZY?si=oeFXy82E1cKWFMqO

incienso y mirra",BLANK
VFHpQukM,"Today marks 3 years since my father became a star. I'm trying to sleep, only these videos can help me relax.",BLANK
eUxnesmd,"Vaccines with MR-5 HUMAN FETAL TISSUE CELLS FROM DEAD MURDERED ABORTIONS CSN NEVER BE GOOD YOU DUMB DOCTOR DEATH AND HELL.... NEITHER CAN VACCINES MADE FROM YOUNG BABY COWS BLOOD BE SAFE, SO YOU ARE FORCING RELIGIOUS AND OTHER PEOPLE TO BECOME CANNIBALISTIC HUMAN DNA FETAL TISSUE CELLS CONSUMERS AND DRINKERS OF COWS BLOOD... I DONT TAKE VACCINES, AND I USE HERBAL MEDICINE FOR ALMOST EVERYTHING... YOU ALL KNOW THE HERBS ARE FOR THE HEALING OF THE NATIONS... I KNOW HOW TO STOP ALMOST ALL SICKNESSES ON EARTH... I WILL NOT BE SCARED BECAUSE I DINT Lack KNOWLEDGE, AND THIS IS A WICKEDNESS...


VACCINES WITHOUT COES BLOOD AND HUMAN DNA FETAL TISSUE CELLS ARE NOT EVIL... BUT ALL VACCINES WITH HUMAN DNA FETAL TISSUE CELLS AND NANOTECH AND COW'S BLOOD ARE UNSAFE ABD WICKEDNESS... SOO YOU ARE DEFINITELY GOING TO BURN FOR YOUR EVIL... WHEN POLIO VACCINES WERE MADE IT ERADICATED POLIO BUT YOU DEVILS SAVED THE POLIO PLAGUES IN LABS AND NOW YOU SRE PUTTING HUMAN DNA FETAL TISSUE CELLS AND REJECT THE HENS EGG VACCINES BECAUSE YOU MADE UP ONE OR TWO SIDE EFFECTS, SBD USE THAT SS A JUSTIFICATION TO OUTLAW HEN EGGS VACCINES, NOW WE SEE ENDLESS REOCCURRENCES BECAUSE OF UNETHICALLY MADE VACCINES FROM HUMAN DNA FETAL TISSUE CELLS, VERY DISGUSTING BUT YOU DEMOCRATS ARE SOO EVIL YOU LOVE TO FORCE YOUR WILL ON MUSLIMS ABD CHRISTIANS AND OTHERS WHO HATES YOUR WILL FROM OUR OF satan pope pedophiles deep state alliance. you and your devils wickedness will never escape the Judgement",BLANK
bdW8X9J3,"RFK, Jr has no idea about anything in regard to health. Remove him from his position!!",BLANK
WFKEYjRM,"Pani Basiu, sens życia jest taki jaki Pani mu nada. Mimo że jestem młoda to choruje na nerwicę lękową i odkąd się leczę moje wszelkie leki zniknęły. Może warto rozważyć konsultację. Niech Pani sobie sprawdzi medytacje Gosi Mostowskiej ,,na trudny czas” tak się nazywa. Życzę wszystkiego dobrego ❤",BLANK
lmio778q,"Hi y’all, I know you guys have been going through a tough life, but we still need enough sleep. So, let us all enjoy this peaceful music and go to sleep 😊.
Goodnight from HK 🇭🇰",BLANK
CGjrZzKK,Ilove that music 😊,BLANK
xXb0jvqm,"Cassidy is spineless hypocrite.. what rfkjr has done to destroy CDC and science research is already part of the vile story of trump regime abandonment of working Americans. Cassidy's failure to seek facts, especially as a doctor, is odious. . as for healthcare plan--he's had ten years to recommend policy. Epic fail.",BLANK
ktfQUZH9,Yes I'm here on this November,BLANK
AAr4jIcf,He knew then that RFK was unqualified and dangerous and he voted him in anyway.,BLANK
k0mwaIiP,No he was correct.,BLANK
BZh1gLz3,sorry Cassidy but you showed yourself to be a simp by believing kennedy...,BLANK
mRsy4BbD,Any one here November 2025,BLANK
1reMzBDS,I get all my facts from CNN and Jake Tap.....   LOL,BLANK
fqmUHRve,So why not ask to have Kennedy removed. He took an oath to save lives.,BLANK
a6P418M1, @SumonKumarBiswas-j9p  yes,BLANK
lUeRAxhe,Amen!🙏,BLANK
ulvLVJ9I,November 2025,BLANK
wbEqAjZx,"Been listening 8 years, never gets old, peace to everyone",BLANK
dgntaikA,محشررررره🩵🌈,BLANK
B5LvEKcp,🫶🏻🥹,BLANK
4bbri0m6,"""Look Jake, you want me to admit what is clearly true, and obviously I am not going to do that.""",BLANK
rJCMuDtO,Step down Cassidy,BLANK
TOthmaNy,The experts also said that thalidomide was safe and effective. When did we recently hear this mantra? 😉,BLANK
kHWRLHkQ,HEY JAKE: When does your book on your coverup of Trump's decline and dementia come out?!,BLANK
tnUlG5XO,"So sad and embarrassing trump administration has simped the republican congress, makes perfect sense he’s a legislator from Louisiana",BLANK
DiXsHg1p,Cassidy has hereby stopped criticizing anything and everything. It's only he said she said anyway. So don't ever let us hear him criticize anything. Then he criticize Biden. What a joke. Go home!,BLANK
vieH0cxt,Measles wasn’t on the rise until anti vaccine morons started refusing MMR shots for their kids.,BLANK
ONHNiYGS,Two twatwaffles on screen.,BLANK
g2Uqe6cT,"So will we each get $50,000 for healthcare.  This plan never says what it will pay people.  If it’s $2,000. That is not enough to find a plan and pay for the monthly premiums.",BLANK
efbkMFJe,Sen Cassidy's state (Louisiana) has one of the lowest vaccination rate in the country. RFK isn't going to increase that rate!,BLANK
bbtPvT2V,"Tapper is a trash journalist. Looking for politicians to fight each other for a tending moment, instead of finding solutions!!!!",BLANK
ujy2ggDL,Could we in the northeast will trade Philly for New Orleans...Plz....just sayin.....,BLANK
H9eFv6ra,Vaccines are most definitely not very safe at all. Alot of people have serious health issues today and have lost their lives from that dumb covid vaccine,BLANK
Xyflodwq,"he got his numbers wrong. You pay 3 TIMES (3!) MORE for a private insurance company interfering then EVERY OTHER DEVELOPPED COUNTRY PAY FOR UNIVERSAL HEALTHCARE.

You have a huge crass useless costly parasyte, PRIVATE INSURANCE. That useless step cost you collectively TWO THIRD OF ALL YOU COLLECTIVELY PAY AND YOU DONT HAVE HEALTHCARE FOR THAT INSANE COST.

That guy, there, he knows that,.",BLANK
sB9yhQYQ,November 24th 2025 - Cape Town 22h10 😊,BLANK
ZKcVyNev,So tried....listening to this to stop all bad moments.🐱,BLANK
4Y3V0I3X, @SleepTightBBY  happy Birthday bro,BLANK
eo1LsdrP,Annoying more than relaxing,BLANK
vyZ0p75N,"After casting that deciding vote . . . how ""Dr."" Cassidy can face himself in the mirror every day is a fair question.  He is a good MAGA fascist banana Republican.  Physician?  He has willfully violated his Hippocratic Oath!",BLANK
jtIkBQjG,It's not inside the beltway Senator! Stop letting yourself off the hook for making a horrible decision to support this horrible candidate.,BLANK
HHxJLZYa,here 22/11/2025,BLANK
kiuxetUW,"Science is not immune to corruption. There are a lot of good sciences out there, but they’re also a lot of scientist  depending on who’s funding their research stifles the scientific community.",BLANK
yWcMfi8K,"잠오지 않을때 들으면 딱일것 같네요
고운영상 감사합니다",BLANK
wgzO8Lew,Me,BLANK
oYOK6nxh,"I  will do you know what to get 😏 😂for 😂in this Yandoor Duvet and 😮and the other one of our 767


Edit:my little brother said ts",BLANK
QqwU8vhn,works well!!!!,BLANK
SmBcx62Q,Just one more completely spineless Republican,BLANK
SMUSFGS4,"Repeat again and again, this doctor repulbican either worried or scared to use his voice , power and most imprtant life saving knowledge to correct  and/or condemn the CDC leader for giving false informationS to force people to believe his lies.
People die because 
of your irresponsibity and the CDC guy Kennedy. You guys are having blood on your hands now and counting on.😢😢😢😢😢😢😢😢😢😢",BLANK
2Dl6IFzC,"Is there something wrong with this fellow RFK Jr. 
He sounds strange when he speaks and looks a little agitated.",BLANK
oy0p1siN,The medical prof ignore him. It’s bollocks. RFK is a dick head.,BLANK
YdL0Y292,What an embarrassment,BLANK
habWnffk,Liar liar pants on fire!,BLANK
diP7i7my,me a 10 year old,BLANK
ul4teJ3K,If you’re a parent and you’re more concerned about your child developing autism from a vaccine than you are your child dying from a preventable disease- your children need to be removed from your care immediately.,BLANK
3pv9MzDp,Google Gemini said this is the best video and it is so relaxing😊😊😊,BLANK
pawjUq33,So he's the reason we have this whole nut job. What a dumb ass. He doesn't care if American are healthy.,BLANK
K70fWGNK,"I wish you the best too, you have a big heart and deserve the best 🖐️💚",BLANK
jQPynJTR,"That’s a beautifully soothing piece  your choice to share the Flying: Relaxing Sleep Music track really sets such a calm, peaceful vibe. 🎶 It’s clear you’ve got an eye for content that helps people relax and recharge. Keep it up  you’re doing amazing!",BLANK
aqM0cTHU,"so relaxing music and the visuals are perfect, thank you",BLANK
19rca4iP,For som odd reason when I listen to this i think of dying light 2 and idk why,BLANK
khIXHqD6,"He’s a “fkn idiot” as my grandpa used to say, just like every other epstein accomplice in the trump administration.",BLANK
f8OKQtQ2,"If you are visiting in November, 2025, remain blessed🙏🫶🏼",BLANK
yUrcpxyQ,❤,BLANK
Yxh5oPX7,He doesn’t have a problem running down Democrats when he disagrees with them but can’t criticize anyone in the Trump administration.,BLANK
shGuAIus,Omg this is biurifool😊,BLANK
jUnUZhHY, @amandaacevedo9663  i play it b4 sleep and it’s amazing,BLANK
NSu83qeP,If you ever thought that the French Army were cheese eating surrender monkeys ?  Meet Senator Cassidy.  from the slime part of the biological family tree.,BLANK
3tDu3Bk5,"@thelearnedman3148  

same answer as for  MAGAMORON:  ""@danielmanly4793   ""

FALSE !   Arguing like you, if senate declares and confirmes that  MONKEYS are allowed to run the country (or part of it) they are qualified. They are not !   At best, they are legally confirmed (NOT QUALIFIED)

IRONICALLY, your position is similar to that of a guy named CALIGULA who wanted to ""confirm"" as prime minister INCITATUS  (his beloved HORSE).

Good luck ""usa"" (once USA)

L.B. (MA  eco&fin)",BLANK
bZMECjyR,"Cassidy, take accountability for the decision you made to confirm RFK Jr. Shame on you.",BLANK
HBgd1yNr,Me,BLANK
Ke1XLCm6,I listen to this every night as I fall asleep.,BLANK
9tkwSzBN,This is why all these old white men need to retire or get voted out!!!,BLANK
w5vOZT7g,"Jake!  When you asked the question, he said you asked the wrong question, and proceeded with his irrelevant talking points.  He did say that the 20% administrative and profit charge is his target for consideration.  No client of an insurance company recognizes a 20% ""overcharge"" as the source of the high and impractical insurance rates.  He is obstructing the facts, which are rarely a topic in these discussions.  Insurance for anything is a calculation of past and expected expenses.   In this issue,  health expenses are high, and to pay the providers, the patients' expenses are high.  Why are the heath expenses of US citizens high?   The OBVIOUS factor is the Covid-19 pandemic.  Medical expenses since the vaccine was freely available in 2022 are high because 1.2 million people in the US contracted Covid, got sick and unneccesarily died.  The right-wing MAGA, responding to the desires of employers avoiding disruption of their business, have created several aggressive ways to ""fight"" the pandemic, which has become an incorrect lethal attack on health care, specifically, amplifying a nascent mythology about the historically successful and implemented use of vaccination.  Objectively, the anti-vax ""cause"" did and still does result in the death of Americans; they either know the reality and are desperately defending themselves from liability or they are truly ignorant of the long and established conventions of health care in this country.  You interviewee should have been ""handled"" by the AMA (American Medical Association) who is authorized to perform peer reviews, and is responsible for the interviewees violations of his legal responsibilities to patients.  Instead, he gaslighted you with irrelevancies.

The insurance industries have ways to estimate expenses.  We could have good data on the Covid crisis, but the CDC has obscured that on its web site.  The senator's comments on Measles and Pertussis (whooping coughs) were especially disturbing.  If the present CDC guidelines are executed by physicians, the estimates by us and the insurance companies could predict tens of millions of subsequent deaths in the next few years.  That is why health insurance is an expensive problem.  Whether health expenses are paid directly by patients, by insurance companies or by the government, the result is the same.  The people of the US will pay them as payments to doctors and hospitals, or to insurance companies or as taxes.  The details of how that money flows are very practical, but has no bearing on the morbidity, mortality and suffering of those who require the health care.

That is why it is extremely important to restore the legislated systems that existed because they were created when the laws and institutions were responsive to the oversight and operations of the American people.  A mythologist like RFK is capable of indirectly killing millions MORE people.  The escape from justice experienced by the MAGA anti-vaxers,. holistic medicine and cults is resulting in a continued destruction of health institutions, research and this is an ongoing disaster being promoted in a very un-American and unconstitutional way.

The political environment of today has been confused by the enormous injection of crime and corruption.  We are seeing deliberate incompetence being used to destroy the United States, for the purpose of replacing the Constitution with the post-constitutional government of Project 2025.  The senator talked about an enigmatic 2026 plan, which involves more than the ratification of the crony-government of non-equal participants.  The administration has declared that those opposed to fascism are the ""enemies of the people.""   This week, Trump said that Democrats and Moderates should be declared to be insurrectionists and should be hung.   In terms of public health, it is already an inevitable danger that we have an RFK who is clearly capable of being another Doctor Mengele.  Although the mens rhea is obvious, It is irrelevant.  The absolute fact of increased death and suffering is too high a value to bother to establish motivations for why they are potentially bringing a genocide to the residents of the US.  It is reliably predictable because it is already in progress and THAT is why heath expenses and insurance rates are TOO HIGH  (even ignoring the realities of death and suffering).

It is significant, but also irrelevant, to note that a predominant GOP philosophy that the margins of profit are somehow considered irrelevant in the administration now.   The Senator's talking point about how the ""operations"" of services can absorb expenses regardless of the costs of doing business is the same ""flaw"" in their proposition that consumer items can be significantly reduced regardless of the arbitrary costs applied by tariffs, the new illegal commissions on all imported products.  Opinion can always be derived from facts.  Facts can sometimes be derived from opinion, which is why there are formal methods in any culture to verify competence.  They are substituting authorities of fact validated by experts with authorities of position appointed by higher authorities of position.  The pattern is so pervasive, one can only conclude that it is a fraudulent plan to accomplish goals for an elite subculture.  Corruption always results in failure, because it is inefficient, but in matters of life and death, and matters of individual economic destruction,  there is no time left to tolerate patently fraudulent crimes.  Because the principles of corruption injected in the federal government are not based on facts, these illegitimate institutions can only be restored with direct investigations, and application of justice with indictments.  Nevertheless, this administration will fall like a house of cards as soon as the major infractions are addressed.  The plethora of facts at every level is actually a distraction from the few very significant violations of the Constitution now infiltrating the entire culture of the United States.  There are many in this country who have made careers out of their general contempt.

Our time is our most important asset.  They are wasting our time.  I reserve my remaining time.",BLANK
JBoU1oiv,"🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
https://youtu.be/17U29fOZ7dM?si=eDuBDlX0sbkarb4j",BLANK
SBpJ0UVZ,"Never mind Jake, you just go and write another book making sh*t up about Biden.",BLANK
6Jxh3NBJ,Super relax music🗿,BLANK
qVGIipjN,SUCH A F’ING COWARD. He is responsible too.,BLANK
1IAaSdGD,Has anyone fallen asleep listening to this song?,BLANK
8TOtqFnn,lol he worked all day on it ???  They’ve had since 2016 to “replace” the ACA. Best they’ve had is “concepts” of a plan.  HSA is not the answer - creating a real market for healthcare so patients could shop around would lower prices !,BLANK
FruXMkxB,Rest in peace bro . He is always with you my G . I dont know you but i do know that he is very proud of the person youve become !!!,BLANK
q7IF2cVq,Tapper is a jabroni,BLANK
F8PJrg6r,o matematik ödevinin yetişmeyeceğini anladığında...,BLANK
T5y4IAjP,"Very nice & soothing, Dear thanks for sharing 🪔",BLANK
TeuRzTyU,Zero accountability...,BLANK
V9EpT4NL,Anyone in march 2030? (Jk obviously 😂) have a great day,BLANK
CBJwYDvO,"Sen Cassidy answer me this. Ths admin and RFK says vaccines cause autism but they also say tyronol causes autism. So which is it ?
Is it vaccines or tyronol?  It cant be both as tyronol is not a vaccine.  How about neither cause autism. Also if God exists he made autism so why are we trying to stop gods plan ?",BLANK
Xs3ZKcSo,"People- children- will die, Bill. Trump undermined the Hep B vaccine as though he were a doctor. This is your legacy",BLANK
xkJdUzEm,Here's a video from Canada (CBC) that should have gone viral when it first came out but I think it was buried by main stream media in the USA . I'm resurrecting it to show how the corruption of RFK Jr. and his allies is deep and poses a threat to all Americans.  Capitalism at it's worst.  --  CBC News  --  Anti-vaxxers exposed: Hidden camera investigation (Marketplace)  ---  https://www.youtube.com/watch?v=V522Hs8E6NU  (21:37  minutes) It's well worth watching.,BLANK
h6UKYP3G,A mesma repetição constante. Assim fica péssimo.,BLANK
VGcbpW8L,The amount of money this chanel generates must be INSANE,BLANK
EpOdVa3s,Gg,BLANK
TfRdUUW1,You got conned my friend,BLANK
e9I4mZVz,"Nothing and no one good, comes to Washington from or through Louisiana.

How about we quit subsidizing Louisiana? 60% of their state budget comes from the federal government.",BLANK
Jv3AhKW8,Support Dr Cassidy!,BLANK
ZIy1DjtM,Just 5 minute long video on my channel has better music then this which stop overthinking and reduce stress 😉,BLANK
LRahzYWV,Very nice music,BLANK
WNR9zUQl,"Pure magic! This instrumental speaks directly to the soul, proving that music alone can be more powerful than words.",BLANK
lpx9Zu5C,Hi,BLANK
UOlQSE7M,"Use gun , not syringe , on this moron",BLANK
ShWIzS2H,November 2025 😊,BLANK
0uiWn9MZ,"Sen. Cassidy won't condemn Trump's RFK Jr because
he rather endangers children than upset Trump. 
He'll burn in hell",BLANK
ATdovz0m,100% safe is just false advertising. If it were 100% safe then no one would be getting adverse effects from it or even dying from it.,BLANK
wcQ4fU78,This guest is exhibiting calling card traits of a homosexual,BLANK
fgrlSUC9,"Whereas I would like to know from CS guys of there's such a thing like that of search in page in text files could there be search console even for comment section to Users on front-end i.e. Client-Side Scripting: JavaScript, along with frameworks like AngularJS and React, powers the interactive elements of YouTube’s web interface ????

Above question always make me think while noticing few important comments to note but couldn't (Assume that I'm not a developer while traveling to workplace by means of bus found some meaningful debate on news channel with thousands of users expressing their opinions in comment section while scrolling noticed sound statements whereas leaving off with bus reaching destination couldn't checkout when returned back home reminded to playback the video wherein twice or thrice comments were added to previous and unfortunately couldn't sort out those comments at Top/Newest, as a non-developer of redaction but normal how to pick up those odd ones out without scrolling till I found them ???",BLANK
mzcMec6z,29/11/2025 If youre reading this i hope you heal from the things you dont tell anyone,BLANK
Ox3qcHl3,تفنيص,BLANK
92N2l3lf,Thank you and happy belated birthday to you,BLANK
7cYD3n3x,Thank you! I’ll go back to my desk and study again and again.. 😭 from Korea,BLANK
wnyZ2Irw,"We suggest that Britain establish an airbase in Cyprus and fight and defend Israel, killing 20,000 children in Gaza alone, and killing people in Lebanon, Yemen, and Syria. We say to London: Enough! Send weapons to Israel, and all British psychiatrists should be sent to Israel to treat their intense desire to kill and shed the blood of children. Stop, Britain! You have crossed the line of morality of Jesus Christ, son of Mary.",BLANK
1wb47ifh,"Would help your credibility senator, if you just owned your mistake and apologized",BLANK
MMXmqlSg,Vaxxed vs unvaxxed studies show that the unvaccinated are much healthier,BLANK
boyv3NQ7,So he lied under oath who is gonna prosecute him?,BLANK
